objectid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,filename,identifier,object_location,image_small,image_thumb
col001_21,"Main & Broadway, N.E. Corner",C. Gray,1920,yes,View of store fronts off Main & Broadway. M.M. Louderbough & Son and Gamble Store.,hardware;stores;storefronts;ice cream,"Meridian, Idaho",43.609547,-116.392696,,Image;StillImage,image/jpg,eng,,,coll001-21.jpg,coll001-21,objects/coll001-21.jpg,objects/small/coll001-21_sm.jpg,objects/thumbs/coll001-21_th.jpg
col001_22,Bank & Biddles,C. Gray,1920,yes,"Slightly obscured view of a building, truck, and men working on the second floor",stores;storefronts;automobiles;buildings;men;construction,,,,,Image;StillImage,image/jpg,eng,,,coll001-22.jpg,coll001-22,objects/coll001-22.jpg,objects/small/coll001-22_sm.jpg,objects/thumbs/coll001-22_th.jpg
col001_23,Horse Approaches the Meridian Creamery,C. Gray,1930,yes,"Shot outside the creamery, showing a horse in the background",creamery;horses;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-23.jpg,coll001-23,objects/coll001-23.jpg,objects/small/coll001-23_sm.jpg,objects/thumbs/coll001-23_th.jpg
col001_24,Good Friends,,1947,,Two women get their photo taken,women;candid,,,,,Image;StillImage,image/jpg,eng,,,coll001-24.jpg,coll001-24,objects/coll001-24.jpg,objects/small/coll001-24_sm.jpg,objects/thumbs/coll001-24_th.jpg
col001_25,Meridian Creamery Workers,C. Gray,1934,,Men working at the creamery,creamery;men;construction;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-25.jpg,coll001-25,objects/coll001-25.jpg,objects/small/coll001-25_sm.jpg,objects/thumbs/coll001-25_th.jpg
col001_26,Alice's Father-In-law's Place,,1910,yes,Outside shot of a home,houses;buildings;streets,,,,,Image;StillImage,image/jpg,eng,,,coll001-26.jpg,coll001-26,objects/coll001-26.jpg,objects/small/coll001-26_sm.jpg,objects/thumbs/coll001-26_th.jpg
col001_28,Exchange Bank,,1920,yes,Two pictures of the exchange bank on E. 2nd & Broadway and a sale with a crowd,buildings;crowds;exchange bank;banks;sale,"Meridian, Idaho",43.610098,-116.390129,,Image;StillImage,image/jpg,eng,,,coll001-28.jpg,coll001-28,objects/coll001-28.jpg,objects/small/coll001-28_sm.jpg,objects/thumbs/coll001-28_th.jpg
col001_29,Single Smokestack in front of the Meridian Creamery,,1934,,Copy of the new smoke stack,creamery;smokestacks;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-29.jpg,coll001-29,objects/coll001-29.jpg,objects/small/coll001-29_sm.jpg,objects/thumbs/coll001-29_th.jpg
col001_30,Meridian Sale,C. Gray,1920,yes,Sale happening in town,crowds;men;women;sale,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-30.jpg,coll001-30,objects/coll001-30.jpg,objects/small/coll001-30_sm.jpg,objects/thumbs/coll001-30_th.jpg
col001_31,Side View of the Meridian Creamery with Smokestacks,,1934,,Exterior shot of the creamery,creamery;buildings;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-31.jpg,coll001-31,objects/coll001-31.jpg,objects/small/coll001-31_sm.jpg,objects/thumbs/coll001-31_th.jpg
col001_32,Construction Outside Creamery,,1930,yes,Workers constructing an addition to the creamery,construction;creamery;men;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-32.jpg,coll001-32,objects/coll001-32.jpg,objects/small/coll001-32_sm.jpg,objects/thumbs/coll001-32_th.jpg
col001_33,Memorial Day at the Meridian Cemetery,,1920,yes,Parade for Memorial Day at the cemetery,parades;men;military;cemeteries;Memorial Day;soldiers,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-33.jpg,coll001-33,objects/coll001-33.jpg,objects/small/coll001-33_sm.jpg,objects/thumbs/coll001-33_th.jpg
col001_34,Starting the basement of Alice's House,,1934,yes,Men working on the basement for Alice's house,houses;buildings;construction;basement;horses;wagons,,,,,Image;StillImage,image/jpg,eng,,,coll001-34.jpg,coll001-34,objects/coll001-34.jpg,objects/small/coll001-34_sm.jpg,objects/thumbs/coll001-34_th.jpg
col001_35,Meridian Drug Center (Swede's),,1947,,Storefront of Meridian Drug Center,stores;storefronts;pharmacies;drugs;Greyhound,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-35.jpg,coll001-35,objects/coll001-35.jpg,objects/small/coll001-35_sm.jpg,objects/thumbs/coll001-35_th.jpg
